id,kind,label,x,y,z,yaw_rad,yaw_deg,width,depth,height,confirmed,notes
wall_0,wall,wall,-0.8385898590087892,-2.334191370010376,1.3403776723146439,0.0,0.0,4.125,0.02,2.66,False,
wall_1,wall,wall,-2.9010898590087892,-2.234191370010376,1.3403776723146439,1.5707963267948966,90.0,0.19999999999999973,0.02,2.66,False,
wall_2,wall,wall,1.2239101409912108,-1.596691370010376,1.3403776723146439,1.5707963267948966,90.0,1.4749999999999999,0.02,2.66,False,
wall_3,wall,wall,-2.951089859008789,-2.134191370010376,1.3403776723146439,0.0,0.0,0.09999999999999964,0.02,2.66,False,
wall_4,wall,wall,-3.001089859008789,0.06580862998962389,1.3403776723146439,1.5707963267948966,90.0,4.4,0.02,2.66,False,
wall_5,wall,wall,2.1864101409912107,-0.8591913700103759,1.3403776723146439,0.0,0.0,1.9249999999999998,0.02,2.66,False,
wall_6,wall,wall,3.1489101409912106,0.6533086299896241,1.3403776723146439,1.5707963267948966,90.0,3.0250000000000004,0.02,2.66,False,
wall_7,wall,wall,2.298910140991211,2.165808629989624,1.3403776723146439,0.0,0.0,1.6999999999999993,0.02,2.66,False,
wall_8,wall,wall,1.4489101409912113,2.215808629989624,1.3403776723146439,1.5707963267948966,90.0,0.09999999999999964,0.02,2.66,False,
wall_9,wall,wall,-0.7760898590087888,2.265808629989624,1.3403776723146439,0.0,0.0,4.45,0.02,2.66,False,
door_0,door,door,0.648910140991211,-2.334191370010376,1.0603776723146439,0.0,0.0,0.9400000000000001,0.08,2.08,False,
door_1,door,door,1.2239101409912108,-1.6841913700103759,1.0603776723146439,1.5707963267948966,90.0,0.9400000000000001,0.08,2.08,False,
door_2,door,door,0.9239101409912109,2.165808629989624,1.0603776723146439,0.0,0.0,0.9400000000000001,0.08,2.08,False,
window_0,window,window,-1.726089859008789,-2.334191370010376,1.6353776723146438,0.0,0.0,1.8600000000000003,0.08,1.6800000000000002,False,
window_1,window,window,-3.001089859008789,1.090808629989624,1.3853776723146438,1.5707963267948966,90.0,2.34,0.08,2.5600000000000005,False,
window_2,window,window,-1.601089859008789,2.265808629989624,1.6353776723146438,0.0,0.0,1.8600000000000003,0.08,1.6800000000000002,False,
bbox_0,furniture,mirror,-0.10108985900878897,-2.309191370010376,2.310377672314644,3.141585307179586,179.99957908170055,0.828125,0.09375,0.09375,False,
bbox_1,furniture,curtain,-1.726089859008789,-2.309191370010376,2.1103776723146437,3.141585307179586,179.99957908170055,1.8125,0.09375,0.734375,False,
bbox_2,furniture,bed,-1.901089859008789,-1.459191370010376,0.4603776723146439,-1.5708000000000002,-90.00021045914973,1.71875,2.171875,0.875,False,
bbox_3,furniture,carpet,-0.6510898590087892,-1.4341913700103759,0.035377672314643865,-1.5708000000000002,-90.00021045914973,1.390625,1.203125,0.09375,False,
bbox_4,furniture,stool,-0.40108985900878924,-1.4341913700103759,0.16037767231464384,-1.5708000000000002,-90.00021045914973,0.546875,0.546875,0.28125,False,
bbox_5,furniture,painting,-2.876089859008789,-0.909191370010376,1.235377672314644,-1.5708000000000002,-90.00021045914973,0.953125,0.09375,1.6875,False,
bbox_6,furniture,cupboard,2.8239101409912113,-0.4341913700103759,1.285377672314644,-1.5708000000000002,-90.00021045914973,0.828125,0.640625,2.546875,False,
bbox_7,furniture,sideboard,2.8239101409912113,0.24080862998962393,0.4603776723146439,-1.5708000000000002,-90.00021045914973,0.5,0.640625,0.875,False,
bbox_8,furniture,sofa,-2.426089859008789,0.24080862998962393,0.4853776723146439,-1.5708000000000002,-90.00021045914973,1.484375,0.9375,0.921875,False,
bbox_9,furniture,cupboard,2.998910140991211,0.49080862998962393,2.1103776723146437,-1.5708000000000002,-90.00021045914973,2.265625,0.3125,0.734375,False,
bbox_10,furniture,chandelier,2.173910140991211,0.5658086299896241,2.560377672314644,-1.5708000000000002,-90.00021045914973,1.40625,0.09375,0.21875,False,
bbox_11,furniture,carpet,-0.0010898590087888849,0.715808629989624,0.010377672314643871,3.141585307179586,179.99957908170055,1.984375,2.78125,0.09375,False,
bbox_12,furniture,cupboard,2.8239101409912113,1.0158086299896238,0.4603776723146439,-1.5708000000000002,-90.00021045914973,2.171875,0.640625,0.875,False,
bbox_13,furniture,cupboard,2.998910140991211,1.1408086299896238,2.1103776723146437,-1.5708000000000002,-90.00021045914973,2.265625,0.3125,0.734375,False,
bbox_14,furniture,chair,0.17391014099121094,1.1408086299896238,0.5603776723146439,-1.5708000000000002,-90.00021045914973,0.578125,0.625,1.078125,False,
bbox_15,furniture,computer,0.09891014099121076,1.7408086299896244,0.8103776723146439,-0.009817500000000479,-0.5625013153697132,0.484375,0.359375,0.390625,False,
